month,skills,mentions,total_postings,share_pct
2022-11,airflow,19,2159,0.88
2022-12,airflow,38,3329,1.141
2023-01,airflow,24,3682,0.652
2023-02,airflow,16,2828,0.566
2023-03,airflow,19,2727,0.697
2023-04,airflow,21,2493,0.842
2023-05,airflow,14,2357,0.594
2023-06,airflow,21,2362,0.889
2023-07,airflow,30,2560,1.172
2023-08,airflow,60,3008,1.995
2023-09,airflow,6,870,0.69
2022-11,alteryx,45,2159,2.084
2022-12,alteryx,93,3329,2.794
2023-01,alteryx,126,3682,3.422
2023-02,alteryx,104,2828,3.678
2023-03,alteryx,75,2727,2.75
2023-04,alteryx,57,2493,2.286
2023-05,alteryx,53,2357,2.249
2023-06,alteryx,111,2362,4.699
2023-07,alteryx,101,2560,3.945
2023-08,alteryx,101,3008,3.358
2023-09,alteryx,21,870,2.414
2023-01,apl,1,3682,0.027
2023-02,apl,3,2828,0.106
2023-03,apl,2,2727,0.073
2023-04,apl,1,2493,0.04
2023-05,apl,1,2357,0.042
2023-06,apl,1,2362,0.042
2022-11,asp.net,3,2159,0.139
2022-12,asp.net,3,3329,0.09
2023-01,asp.net,6,3682,0.163
2023-02,asp.net,2,2828,0.071
2023-04,asp.net,1,2493,0.04
2023-05,asp.net,2,2357,0.085
2023-06,asp.net,1,2362,0.042
2023-07,asp.net,2,2560,0.078
2023-08,asp.net,4,3008,0.133
2023-09,asp.net,2,870,0.23
2022-11,assembly,4,2159,0.185
2022-12,assembly,3,3329,0.09
2023-01,assembly,8,3682,0.217
2023-02,assembly,17,2828,0.601
2023-03,assembly,5,2727,0.183
2023-04,assembly,4,2493,0.16
2023-05,assembly,13,2357,0.552
2023-06,assembly,14,2362,0.593
2023-07,assembly,6,2560,0.234
2023-08,assembly,5,3008,0.166
2023-09,assembly,3,870,0.345
2022-11,atlassian,6,2159,0.278
2022-12,atlassian,14,3329,0.421
2023-01,atlassian,7,3682,0.19
2023-02,atlassian,8,2828,0.283
2023-03,atlassian,6,2727,0.22
2023-04,atlassian,2,2493,0.08
2023-05,atlassian,2,2357,0.085
2023-06,atlassian,7,2362,0.296
2023-07,atlassian,1,2560,0.039
2023-08,atlassian,4,3008,0.133
2022-11,aurora,4,2159,0.185
2022-12,aurora,3,3329,0.09
2023-01,aurora,4,3682,0.109
2023-02,aurora,2,2828,0.071
2023-03,aurora,10,2727,0.367
2023-04,aurora,3,2493,0.12
