norm_title,skills,count,posting_count
analyst,excel,38,75
analyst,sql,33,75
analyst,tableau,26,75
analyst,sas,20,75
analyst,word,19,75
analyst,python,14,75
analyst,power_bi,8,75
analyst,r,7,75
analyst,powerpoint,6,75
analyst,spreadsheet,3,75
analyst,c,2,75
analyst,gitlab,2,75
analyst,go,2,75
analyst,outlook,2,75
analyst,pandas,2,75
analyst,pyspark,2,75
analyst,spss,2,75
analyst,vba,2,75
analyst,alteryx,1,75
analyst,css,1,75
analyst,html,1,75
analyst,javascript,1,75
analyst,js,1,75
analyst,looker,1,75
analyst,matlab,1,75
analyst,mysql,1,75
analyst,sharepoint,1,75
analyst,spark,1,75
analyst,visio,1,75
analyst data,sql,16,30
analyst data,excel,14,30
analyst data,tableau,12,30
analyst data,alteryx,4,30
analyst data,crystal,4,30
analyst data,elixir,4,30
analyst data,looker,3,30
analyst data,outlook,2,30
analyst data,power_bi,2,30
analyst data,python,2,30
analyst data,sas,2,30
analyst data,spark,2,30
analyst data,spss,2,30
analyst data,ssis,2,30
analyst data,visio,2,30
analyst data,word,2,30
analyst data,aws,1,30
analyst data,azure,1,30
analyst data,hadoop,1,30
analyst data,java,1,30
analyst data,javascript,1,30
analyst data,mysql,1,30
analyst data,r,1,30
analyst data,scala,1,30
analyst data,snowflake,1,30
analyst data,t-sql,1,30
analyst data analytics,power_bi,77,59
analyst data analytics,sql,56,59
analyst data analytics,tableau,55,59
analyst data analytics,python,52,59
analyst data analytics,r,51,59
analyst data analytics,scala,47,59
analyst data analytics,spark,47,59
analyst data analytics,excel,31,59
analyst data analytics,looker,26,59
analyst data analytics,matplotlib,24,59
analyst data analytics,nosql,24,59
analyst data analytics,sap,24,59
analyst data analytics,microstrategy,23,59
analyst data analytics,sas,23,59
analyst data analytics,powerpoint,4,59
analyst data analytics,numpy,1,59
analyst data analytics,outlook,1,59
analyst data analytics,pandas,1,59
analyst data analytics,qlik,1,59
analyst data analytics,sharepoint,1,59
analyst data analytics,snowflake,1,59
analyst data analytics,spreadsheet,1,59
